12	15	9	22	27	3	1	26	
13	4	19	8	21	17	10	2	
24	6	14	5	25	18	11	0	
39	50	29	35	45	53	28	38	
49	43	31	46	42	47	37	54	
32	51	44	40	48	34	55	30	

11	14	8	21	26	2	0	25	
12	3	18	7	20	16	9	1	
23	5	13	4	24	17	10	27	
38	49	28	34	44	52	55	37	
48	42	30	45	41	46	36	53	
31	50	43	39	47	33	54	29	

9	12	6	19	24	0	26	23	
10	1	16	5	18	14	7	27	
21	3	11	2	22	15	8	25	
36	47	54	32	42	50	53	35	
46	40	28	43	39	44	34	51	
29	48	41	37	45	31	52	55	

7	10	4	17	22	26	24	21	
8	27	14	3	16	12	5	25	
19	1	9	0	20	13	6	23	
34	45	52	30	40	48	51	33	
44	38	54	41	37	42	32	49	
55	46	39	35	43	29	50	53	

5	8	2	15	20	24	22	19	
6	25	12	1	14	10	3	23	
17	27	7	26	18	11	4	21	
32	43	50	28	38	46	49	31	
42	36	52	39	35	40	30	47	
53	44	37	33	41	55	48	51	

3	6	0	13	18	22	20	17	
4	23	10	27	12	8	1	21	
15	25	5	24	16	9	2	19	
30	41	48	54	36	44	47	29	
40	34	50	37	33	38	28	45	
51	42	35	31	39	53	46	49	

1	4	26	11	16	20	18	15	
2	21	8	25	10	6	27	19	
13	23	3	22	14	7	0	17	
28	39	46	52	34	42	45	55	
38	32	48	35	31	36	54	43	
49	40	33	29	37	51	44	47	

27	2	24	9	14	18	16	13	
0	19	6	23	8	4	25	17	
11	21	1	20	12	5	26	15	
54	37	44	50	32	40	43	53	
36	30	46	33	29	34	52	41	
47	38	31	55	35	49	42	45	

26	1	23	8	13	17	15	12	
27	18	5	22	7	3	24	16	
10	20	0	19	11	4	25	14	
53	36	43	49	31	39	42	52	
35	29	45	32	28	33	51	40	
46	37	30	54	34	48	41	44	

24	27	21	6	11	15	13	10	
25	16	3	20	5	1	22	14	
8	18	26	17	9	2	23	12	
51	34	41	47	29	37	40	50	
33	55	43	30	54	31	49	38	
44	35	28	52	32	46	39	42	

22	25	19	4	9	13	11	8	
23	14	1	18	3	27	20	12	
6	16	24	15	7	0	21	10	
49	32	39	45	55	35	38	48	
31	53	41	28	52	29	47	36	
42	33	54	50	30	44	37	40	

20	23	17	2	7	11	9	6	
21	12	27	16	1	25	18	10	
4	14	22	13	5	26	19	8	
47	30	37	43	53	33	36	46	
29	51	39	54	50	55	45	34	
40	31	52	48	28	42	35	38	

18	21	15	0	5	9	7	4	
19	10	25	14	27	23	16	8	
2	12	20	11	3	24	17	6	
45	28	35	41	51	31	34	44	
55	49	37	52	48	53	43	32	
38	29	50	46	54	40	33	36	

16	19	13	26	3	7	5	2	
17	8	23	12	25	21	14	6	
0	10	18	9	1	22	15	4	
43	54	33	39	49	29	32	42	
53	47	35	50	46	51	41	30	
36	55	48	44	52	38	31	34	

14	17	11	24	1	5	3	0	
15	6	21	10	23	19	12	4	
26	8	16	7	27	20	13	2	
41	52	31	37	47	55	30	40	
51	45	33	48	44	49	39	28	
34	53	46	42	50	36	29	32	

13	16	10	23	0	4	2	27	
14	5	20	9	22	18	11	3	
25	7	15	6	26	19	12	1	
40	51	30	36	46	54	29	39	
50	44	32	47	43	48	38	55	
33	52	45	41	49	35	28	31
